Word,Typical Age (Months),Learning Strategy
mama,10,Point to mom frequently and say 'mama' with enthusiasm. Encourage mom to respond excitedly when baby says it.
dada,10,Point to dad and say 'dada.' Have dad get excited and respond when baby attempts the word.
no,10,Shake your head while saying 'no' in a gentle but clear voice. Use during daily limits and boundaries.
bye,11,Wave your hand while saying 'bye' when leaving or when others leave. Make it a fun ritual.
hi,11,Wave and say 'hi' when greeting people. Encourage baby to wave back and attempt the sound.
ball,11,Roll a ball back and forth while saying 'ball.' Let baby hold it and repeat the word enthusiastically.
dog,11,Point to dogs in books or on walks. Make barking sounds and say 'dog' excitedly.
cat,11,Show pictures of cats and make meowing sounds. Say 'cat' when you see one in books or outside.
more,11,Use during meals and snacks. Sign and say 'more' when offering additional food baby enjoys.
eat,11,Say 'eat' before meals and snacks. Pretend to eat and make yummy sounds to make it fun.
milk,11,Say 'milk' before every feeding. Show the bottle or cup and repeat the word clearly.
up,11,Say 'up' while lifting baby. Raise your arms up high to demonstrate the motion.
down,12,Say 'down' when lowering baby or setting them down. Point downward to reinforce the concept.
baby,12,Point to baby in mirror and say 'baby.' Also point to babies in books and photos.
book,12,Hold up books and say 'book' before reading together. Let baby touch and explore books.
shoe,12,Hold up shoes and say 'shoe' when getting dressed. Let baby help put shoes on.
hat,12,Put hats on baby's head and say 'hat.' Try on different hats and make it playful.
car,12,Push toy cars while saying 'car.' Point to cars outside and make 'vroom' sounds.
bye-bye,12,Wave both hands while saying 'bye-bye.' Use when leaving or ending activities.
night-night,12,Say 'night-night' during bedtime routine. Associate with tucking in and going to sleep.
uh-oh,12,Say 'uh-oh' when something drops or falls. Use a surprised expression to make it engaging.
yes,12,Nod your head while saying 'yes' enthusiastically. Use when agreeing or approving.
go,13,Say 'go' when starting to move or walk. Use during play like rolling balls or toy cars.
apple,13,Cut up apple slices. Let baby see and touch while you say 'apple' clearly.
banana,13,Peel a banana and say 'banana.' Let baby help peel and taste it.
cookie,13,Show cookie before giving it. Say 'cookie' and wait for baby to attempt the word.
water,13,Hold up water cup and say 'water' before offering drinks. Point to water in different places.
juice,13,Show juice container and say 'juice.' Pour it into cup while repeating the word.
bath,13,Say 'bath' before bath time. Splash water and make it an exciting word to learn.
bed,13,Pat the bed and say 'bed' during nap and bedtime routines.
bear,13,Show teddy bears and say 'bear.' Make it cuddly and fun. Read books about bears.
bird,13,Point to birds outside and say 'bird.' Make chirping sounds to engage baby.
fish,14,Point to fish in books or aquariums. Make swimming motions and say 'fish.'
duck,14,Show rubber ducks during bath time. Make quacking sounds and say 'duck.'
nose,14,Play 'Where's your nose?' Point to your nose then baby's nose. Make it a game.
eye,14,Gently touch baby's eyes while saying 'eye.' Make silly faces to keep them engaged.
mouth,14,Point to your mouth and say 'mouth.' Open and close it playfully.
ear,14,Touch your ears and say 'ear.' Play peek-a-boo with ears.
hand,14,Clap hands together while saying 'hand.' Play patty-cake and emphasize the word.
foot,14,Touch baby's feet and say 'foot.' Play 'This Little Piggy' to make it fun.
tummy,14,Pat baby's tummy and say 'tummy.' Blow raspberries on tummy during play.
head,14,Pat your head and baby's head while saying 'head.' Make it gentle and fun.
hair,15,Touch baby's hair gently and say 'hair.' Brush hair while repeating the word.
tooth,15,Point to teeth while saying 'tooth.' Use during toothbrushing time.
outside,15,Point to windows or go outside while saying 'outside.' Make it exciting.
inside,15,Come inside and say 'inside.' Use when entering the house or rooms.
open,15,Open containers and doors while saying 'open.' Let baby help pull things open.
close,15,Close containers and doors while saying 'close.' Demonstrate pushing things closed.
hot,15,Point to warm items (not too hot) and say 'hot.' Use a cautious tone.
cold,15,Let baby feel cold items safely and say 'cold.' Use ice cubes or cold water.
big,15,Show large objects and say 'big.' Use your arms to show something big.
little,15,Show small objects and say 'little.' Compare big and little items together.
happy,15,Smile widely and say 'happy.' Clap hands and laugh to show happiness.
sad,16,Make a sad face and say 'sad.' Use during emotional learning moments.
sit,16,Pat the floor or chair and say 'sit' when encouraging baby to sit down.
stand,16,Help baby stand up while saying 'stand.' Hold hands and practice standing.
walk,16,Hold baby's hands and walk together while saying 'walk.' Cheer for each step.
run,16,Run around playfully while saying 'run.' Make it an energetic game.
jump,16,Hold baby's hands and help them jump. Say 'jump' enthusiastically each time.
dance,16,Play music and dance together. Say 'dance' while moving to the rhythm.
play,16,Start playtime by saying 'Let's play!' Use during favorite games and activities.
stop,16,Hold up your hand and say 'stop' during movement games. Use clearly and consistently.
help,16,Say 'help' when assisting baby. Encourage them to say it when they need assistance.
please,16,Model saying 'please' when asking for things. Reward attempts with praise.
thank you,16,Say 'thank you' when receiving things. Model gratitude in daily interactions.
all done,17,Sign and say 'all done' when finishing meals or activities. Make it a clear signal.
bottle,17,Hold up bottle and say 'bottle' before feeding times.
cup,17,Hand baby a cup and say 'cup.' Let them hold and explore it.
spoon,17,Give baby a spoon during meals and say 'spoon.' Demonstrate using it.
fork,17,Show fork at mealtimes and say 'fork.' Let baby practice with safe utensils.
plate,17,Put food on plate and say 'plate.' Let baby touch and explore the plate.
bowl,17,Serve food in bowl and say 'bowl.' Let baby hold their own bowl.
flower,17,Point to flowers outside and say 'flower.' Let baby smell and look at flowers.
tree,17,Point to trees and say 'tree.' Touch the bark and look at leaves together.
grass,17,Touch grass and say 'grass.' Let baby feel the texture safely.
sun,17,Point to the sun and say 'sun.' Talk about it being bright and warm.
moon,17,Point to the moon at night and say 'moon.' Make it magical and exciting.
star,18,Point to stars at night and say 'star.' Count stars together.
rain,18,Watch rain through window and say 'rain.' Talk about the sound it makes.
snow,18,Touch snow safely and say 'snow.' Talk about it being cold and white.
wind,18,Feel wind outside and say 'wind.' Watch it blow leaves and trees.
cloud,18,Point to clouds and say 'cloud.' Describe their shapes and colors.
sky,18,Point up and say 'sky.' Look at the sky during different times of day.
dirt,18,Touch dirt outside and say 'dirt.' Let baby explore texture safely.
rock,18,Pick up rocks and say 'rock.' Let baby hold and examine them.
stick,18,Find sticks outside and say 'stick.' Use for drawing in dirt or sand.
bug,18,Point to bugs safely and say 'bug.' Watch them move and explore.
bee,18,Point to bees from a distance and say 'bee.' Make buzzing sounds.
butterfly,18,Point to butterflies and say 'butterfly.' Watch them fly together.
cow,18,Show pictures of cows and say 'cow.' Make 'moo' sounds together.
horse,19,Show pictures of horses and say 'horse.' Make neighing sounds.
pig,19,Show pictures of pigs and say 'pig.' Make oink sounds together.
chicken,19,Show pictures of chickens and say 'chicken.' Make clucking sounds.
sheep,19,Show pictures of sheep and say 'sheep.' Make 'baa' sounds together.
goat,19,Show pictures of goats and say 'goat.' Talk about how they eat grass.
truck,19,Push toy trucks while saying 'truck.' Point to trucks outside.
bus,19,Point to buses and say 'bus.' Wave to buses you see.
train,19,Play with toy trains while saying 'train.' Make 'choo choo' sounds.
plane,19,Point to planes in the sky and say 'plane.' Make flying motions.
boat,19,Play with toy boats in bath and say 'boat.' Make wave motions.
bike,19,Point to bikes and say 'bike.' Talk about wheels and riding.
slide,19,Go down slides together while saying 'slide.' Make it fun and exciting.
swing,19,Push baby on swing while saying 'swing.' Count swings together.
sandbox,20,Play in sandbox while saying 'sandbox.' Dig and build together.
blocks,20,Stack blocks while saying 'blocks.' Knock them down for fun.
toy,20,Hand baby toys and say 'toy.' Talk about different toys during play.
teddy,20,Hug teddy bear and say 'teddy.' Make it a cuddle friend.
dolly,20,Play with dolls and say 'dolly.' Pretend to care for the doll.
red,20,Point to red objects and say 'red.' Find red items throughout the day.
blue,20,Point to blue objects and say 'blue.' Wear blue clothes and name the color.
yellow,20,Point to yellow objects and say 'yellow.' Look for yellow things outside.
green,20,Point to green objects and say 'green.' Show green grass and leaves.
orange,20,Show orange fruit and objects while saying 'orange.' Name the color and the fruit.
purple,20,Point to purple items and say 'purple.' Find purple in books and clothes.
pink,20,Point to pink items and say 'pink.' Find pink flowers and toys.
brown,20,Point to brown items and say 'brown.' Show brown dirt and wood.
black,21,Point to black items and say 'black.' Compare with lighter colors.
white,21,Point to white items and say 'white.' Show white paper and snow.
circle,21,Draw circles and say 'circle.' Point to round objects like balls.
square,21,Show square shapes and say 'square.' Point to square blocks and books.
triangle,21,Show triangle shapes and say 'triangle.' Draw triangles together.
one,21,Hold up one finger and say 'one.' Count one item together.
two,21,Hold up two fingers and say 'two.' Count two items together.
three,21,Hold up three fingers and say 'three.' Count three items together.
four,21,Hold up four fingers and say 'four.' Count four items together.
five,21,Hold up five fingers and say 'five.' Count to five on fingers.
six,21,Show six items and count together. Hold up fingers to represent six.
seven,21,Show seven items and count together. Practice counting daily.
eight,21,Show eight items and count together. Make counting fun with toys.
nine,22,Show nine items and count together. Count steps or blocks.
ten,22,Count to ten with fingers and toes. Make it a celebration.
shirt,22,Hold up shirt and say 'shirt' when getting dressed. Let baby help.
pants,22,Hold up pants and say 'pants' during dressing time. Talk about putting legs in.
dress,22,Show dress and say 'dress.' Talk about wearing it.
socks,22,Pull on socks and say 'socks.' Let baby help put them on.
coat,22,Put on coat and say 'coat.' Talk about staying warm.
diaper,22,Hold up diaper and say 'diaper' during changes. Make it routine.
blanket,22,Cuddle with blanket and say 'blanket.' Use during nap and bedtime.
pillow,22,Pat pillow and say 'pillow' during bedtime routine.
mommy,22,Point to mom and say 'mommy.' Differentiate from 'mama' as baby grows.
daddy,22,Point to dad and say 'daddy.' Use in sentences about dad.
grandma,22,Show pictures of grandma and say 'grandma.' Talk about visits.
grandpa,22,Show pictures of grandpa and say 'grandpa.' Share stories about grandpa.
sister,23,Point to sister and say 'sister.' Talk about sibling relationship.
brother,23,Point to brother and say 'brother.' Include in family discussions.
aunt,23,Show pictures of aunt and say 'aunt.' Talk about family visits.
uncle,23,Show pictures of uncle and say 'uncle.' Share stories together.
friend,23,Point to playmates and say 'friend.' Encourage friendly interactions.
mine,23,Let baby claim their items and say 'mine.' Teach about ownership gently.
yours,23,Point to others' items and say 'yours.' Teach about respecting others' things.
ours,23,Share items and say 'ours.' Teach about sharing and togetherness.
give,23,Hand items back and forth while saying 'give.' Practice giving during play.
take,23,Demonstrate taking and say 'take.' Use during turn-taking games.
share,23,Share toys and snacks while saying 'share.' Model sharing behavior.
turn,23,Take turns during play and say 'turn.' Wait for baby's turn patiently.
wait,23,Hold up hand and say 'wait.' Practice waiting for short periods.
hurry,24,Move quickly and say 'hurry.' Use when you need to move faster.
fast,24,Move quickly and say 'fast.' Race toy cars together.
slow,24,Move slowly and say 'slow.' Demonstrate slow walking or movements.
loud,24,Make loud sounds and say 'loud.' Cover ears playfully.
quiet,24,Whisper and say 'quiet.' Put finger to lips in shushing motion.
clean,24,Wipe things clean and say 'clean.' Help baby clean up toys.
dirty,24,Point to dirty items and say 'dirty.' Talk about washing them.
wet,24,Touch wet items safely and say 'wet.' Feel water and wet clothes.
dry,24,Feel dry items and say 'dry.' Use towels after washing hands.
full,24,Pat full tummy after eating and say 'full.' Associate with feeling satisfied.
empty,24,Show empty containers and say 'empty.' Turn containers upside down.
hard,24,Touch hard surfaces and say 'hard.' Compare with soft items.
soft,24,Touch soft items like blankets and say 'soft.' Cuddle soft toys.
rough,25,Feel rough textures safely and say 'rough.' Touch tree bark or sandpaper.
smooth,25,Feel smooth surfaces and say 'smooth.' Touch glass or smooth stones.
round,25,Roll round objects and say 'round.' Show balls and wheels.
flat,25,Show flat surfaces and say 'flat.' Compare with round or bumpy items.
tall,25,Point to tall things and say 'tall.' Stand on tiptoes to show tall.
short,25,Point to short things and say 'short.' Crouch down to show short.
long,25,Show long items and say 'long.' Stretch arms wide.
thin,25,Show thin items and say 'thin.' Use fingers close together.
fat,25,Show thick items and say 'fat.' Use hands spread apart.
heavy,25,Lift heavy items carefully and say 'heavy.' Make lifting face.
light,25,Lift light items easily and say 'light.' Float feathers or light toys.
scary,25,Make gentle scary face and say 'scary.' Then smile to show it's okay.
funny,25,Laugh and say 'funny' during silly moments. Make funny faces.
silly,25,Be silly and say 'silly.' Encourage giggles and playfulness.
love,26,Hug and say 'I love you.' Show affection with the word.
hug,26,Give hugs and say 'hug.' Open arms for hugs throughout the day.
kiss,26,Give kisses and say 'kiss.' Blow kisses from across the room.
nice,26,Be gentle and say 'nice.' Pet animals nicely and touch gently.
mean,26,Use when teaching about unkind behavior. Explain being kind instead.
good,26,Praise with 'good job!' Use when baby does something well.
bad,26,Use gently when teaching right from wrong. Focus on behavior not child.
pretty,26,Point to pretty things and say 'pretty.' Look at flowers and sunsets.
ugly,26,Use sparingly and kindly. Focus more on beauty than ugliness.
yucky,26,Make face and say 'yucky' for unpleasant tastes or smells.
yummy,26,Say 'yummy' when eating good food. Rub tummy to show enjoyment.
stinky,26,Hold nose and say 'stinky' for bad smells. Make it playful.
sweet,26,Taste sweet foods and say 'sweet.' Talk about sweet flavors.
sour,26,Taste sour foods carefully and say 'sour.' Make sour face.
salty,27,Taste salty foods and say 'salty.' Talk about the flavor.
kitchen,27,Walk into kitchen and say 'kitchen.' Cook together and explore.
bedroom,27,Enter bedroom and say 'bedroom.' Talk about sleeping there.
bathroom,27,Go to bathroom and say 'bathroom.' Use during bathroom routines.
living room,27,Sit in living room and say 'living room.' Play and relax there together.
door,27,Open and close doors while saying 'door.' Let baby help push/pull.
window,27,Look out window and say 'window.' Point to things outside.
wall,27,Touch wall and say 'wall.' Walk along walls together.
floor,27,Sit on floor and say 'floor.' Play on floor together.
ceiling,27,Point up to ceiling and say 'ceiling.' Look at lights on ceiling.
stairs,27,Walk up stairs safely and say 'stairs.' Count steps together.
table,27,Pat table and say 'table.' Eat meals at the table.
chair,27,Sit in chair and say 'chair.' Help baby sit in their chair.
couch,27,Sit on couch and say 'couch.' Cuddle on the couch together.
TV,28,Point to TV and say 'TV.' Talk about watching shows together.
phone,28,Hold phone and say 'phone.' Pretend to make phone calls.
keys,28,Show keys and say 'keys.' Jingle them to make sound.
purse,28,Show purse and say 'purse.' Let baby explore safe items inside.
wallet,28,Show wallet and say 'wallet.' Talk about keeping it safe.
money,28,Show coins or bills and say 'money.' Count money together.
penny,28,Show penny and say 'penny.' Feel the coin and look at it.
store,28,Visit store and say 'store.' Talk about shopping together.
house,28,Point to house and say 'house.' Talk about home and houses.
home,28,Arrive home and say 'we're home!' Make it warm and welcoming.
park,28,Go to park and say 'park.' Play together at the park.
school,28,Point to school buildings and say 'school.' Talk about learning.
library,28,Visit library and say 'library.' Look at books together.
doctor,28,Talk about doctor visits and say 'doctor.' Play doctor with toys.
nurse,29,Point to nurses and say 'nurse.' Talk about how they help us.
teacher,29,Talk about teachers and say 'teacher.' Read books about school.
mail,29,Get mail and say 'mail.' Let baby help carry it inside.
package,29,Receive packages and say 'package.' Open them together.
trash,29,Throw away trash and say 'trash.' Practice cleaning up together.
recycle,29,Put items in recycling and say 'recycle.' Teach about taking care of earth.
wash,29,Wash hands and say 'wash.' Make it part of daily routine.
brush,29,Brush hair or teeth and say 'brush.' Let baby help brush.
comb,29,Comb hair and say 'comb.' Gently demonstrate combing.
towel,29,Dry with towel and say 'towel.' Use after washing hands or bathing.
soap,29,Use soap and say 'soap.' Make bubbles to make it fun.
shampoo,29,Wash hair with shampoo and say 'shampoo.' Be gentle and playful.
toothbrush,29,Brush teeth and say 'toothbrush.' Make brushing fun and regular.
toothpaste,29,Put toothpaste on brush and say 'toothpaste.' Use kid-friendly flavor.
potty,30,Show potty and say 'potty.' Read books about potty training.
pee,30,Use during potty training and say 'pee.' Keep tone positive and matter-of-fact.
poop,30,Use during potty training and say 'poop.' Keep it simple and positive.
flush,30,Flush toilet and say 'flush.' Let baby help push the handle.
wipe,30,Demonstrate wiping and say 'wipe.' Teach proper hygiene.
tissue,30,Use tissue and say 'tissue.' Help baby blow nose gently.
napkin,30,Wipe mouth with napkin and say 'napkin.' Use during meals.
bib,30,Put on bib and say 'bib.' Use before messy meals.
high chair,30,Sit in high chair and say 'high chair.' Make mealtimes fun.
stroller,30,Put baby in stroller and say 'stroller.' Go for walks together.
crib,30,Put baby in crib and say 'crib.' Use during sleep times.
rocking chair,30,Rock in rocking chair and say 'rocking chair.' Make it soothing.
backpack,30,Show backpack and say 'backpack.' Let baby help carry small one.
lunchbox,30,Pack lunchbox and say 'lunchbox.' Prepare meals together.
snack,30,Offer snacks and say 'snack.' Talk about healthy snacking.
breakfast,30,Eat breakfast and say 'breakfast.' Make it part of morning routine.
lunch,30,Eat lunch and say 'lunch.' Talk about midday meals.
dinner,30,Eat dinner and say 'dinner.' Make family dinners together.
hungry,30,Pat tummy and say 'hungry' before meals. Teach about hunger cues.
thirsty,30,Pretend to drink and say 'thirsty.' Offer water when thirsty.
lion,30,Show pictures of lions and say 'lion.' Make roaring sounds together.
tiger,30,Show pictures of tigers and say 'tiger.' Make tiger growling sounds.
elephant,30,Show pictures of elephants and say 'elephant.' Make trunk motion with arm.
monkey,30,Show pictures of monkeys and say 'monkey.' Make monkey sounds and movements.
giraffe,30,Show pictures of giraffes and say 'giraffe.' Talk about long necks.
zebra,30,Show pictures of zebras and say 'zebra.' Talk about stripes.
kangaroo,30,Show pictures of kangaroos and say 'kangaroo.' Hop like a kangaroo.
panda,30,Show pictures of pandas and say 'panda.' Talk about eating bamboo.
penguin,30,Show pictures of penguins and say 'penguin.' Waddle like a penguin.
whale,30,Show pictures of whales and say 'whale.' Make whale sounds.
dolphin,30,Show pictures of dolphins and say 'dolphin.' Talk about swimming and jumping.
shark,30,Show pictures of sharks and say 'shark.' Talk about swimming in ocean.
octopus,30,Show pictures of octopus and say 'octopus.' Count eight arms together.
crab,30,Show pictures of crabs and say 'crab.' Make pinching motions with fingers.
turtle,30,Show pictures of turtles and say 'turtle.' Move slowly like a turtle.
frog,30,Show pictures of frogs and say 'frog.' Make hopping and ribbiting sounds.
snake,30,Show pictures of snakes and say 'snake.' Make slithering motion.
lizard,30,Show pictures of lizards and say 'lizard.' Talk about them crawling.
dinosaur,30,Show toy dinosaurs and say 'dinosaur.' Make dinosaur roars together.
dragon,30,Show pictures of dragons and say 'dragon.' Pretend to breathe fire.
monster,30,Make gentle monster face and say 'monster.' Make it playful not scary.
robot,30,Move stiffly like robot and say 'robot.' Make robot sounds together.
rocket,30,Show pictures of rockets and say 'rocket.' Make blasting off sounds.
spaceship,30,Show pictures of spaceships and say 'spaceship.' Pretend to fly in space.
astronaut,30,Show pictures of astronauts and say 'astronaut.' Talk about going to space.
police,30,Point to police officers and say 'police.' Talk about how they help us.
firefighter,30,Show pictures of firefighters and say 'firefighter.' Make siren sounds.
ambulance,30,Point to ambulances and say 'ambulance.' Make siren sounds together.
construction,30,Watch construction vehicles and say 'construction.' Talk about building.
guitar,30,Show pictures or toy guitar and say 'guitar.' Strum and make music.
piano,30,Touch piano keys and say 'piano.' Make musical sounds together.
drum,30,Bang on drum and say 'drum.' Make rhythmic sounds together.
music,30,Play music and say 'music.' Dance and sing along.
song,30,Sing songs and say 'song.' Make music part of daily routine.
sing,30,Sing together and say 'sing.' Encourage baby to join in.
clap,30,Clap hands and say 'clap.' Do it to music and for celebrations.
stomp,30,Stomp feet and say 'stomp.' Make it a fun movement game.
twirl,30,Spin around and say 'twirl.' Hold hands and twirl together.
spin,30,Spin in circles and say 'spin.' Make it dizzy fun.
wiggle,30,Wiggle body and say 'wiggle.' Wiggle fingers and toes too.
shake,30,Shake body or objects and say 'shake.' Shake shakers to music.
nod,30,Nod head and say 'nod.' Use when agreeing or saying yes.
wave,30,Wave hand and say 'wave.' Wave hello and goodbye.
point,30,Point to things and say 'point.' Encourage baby to point at objects.
